machine,vtg,crt,gas,res,date,lot,label
TM-PE NO.1 R3,22,164,23.2,0.134146341,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,165,23.2,0.133333333,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,164.3,23.2,0.1339014,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,165,23.2,0.133333333,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,167.3,23.2,0.131500299,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,19,168.3,23.1,0.112893642,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,22,176,23.1,0.125,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,21,171,23.1,0.122807018,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,21,171,23.1,0.122807018,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,21,171,23.1,0.122807018,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R3,21,168.3,23.1,0.124777184,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,59,209.6,27.6,0.28148855,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,59,209.6,27.6,0.28148855,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,59,209.6,27.6,0.28148855,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,163.3,34.7,0.122473974,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,164,32.5,0.115853659,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,164,30.5,0.115853659,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,164.6,28.8,0.115431349,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,165.6,27.4,0.1147343,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,165.6,27.4,0.1147343,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,19,165.6,27.4,0.1147343,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,167,24.7,0.119760479,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,165.6,24.2,0.120772947,2023-10-17 14:32,SJQA146 1,
TM-PE NO.1 R4,20,166.3,23.7,0.120264582,2023-10-17 14:32,SJQA146 1,
