id,machine,label,jig,vtg,crt,gas,,,starttime,,
248988288,TM-PE NO.1 R1,1,1,13.1,176.2,0,0,0,2023-05-03-8:09:19.743,,
248988301,TM-PE NO.1 R1,1,1,13.3,172.9,0,0,0,2023-05-03-8:09:20.280,6,
248988324,TM-PE NO.1 R1,1,1,13.2,173.7,0,0,0,2023-05-03-8:09:21.340,,
248988342,TM-PE NO.1 R1,1,1,13.3,176.2,0,0,0,2023-05-03-8:09:21.873,,
248988355,TM-PE NO.1 R1,1,1,13.2,175.8,0,0,0,2023-05-03-8:09:22.417,,
248988370,TM-PE NO.1 R1,1,1,13.3,174.1,0,0,0,2023-05-03-8:09:22.967,,
248989458,TM-PE NO.1 R1,0,1,14.9,169.5,0,0,0,2023-05-03-8:10:08.547,,
248989474,TM-PE NO.1 R1,0,1,14.9,169.5,0,0,0,2023-05-03-8:10:09.090,,
248989489,TM-PE NO.1 R1,0,1,14.9,169.5,0,0,0,2023-05-03-8:10:09.643,,
248989508,TM-PE NO.1 R1,0,1,14.9,169.5,0,0,0,2023-05-03-8:10:10.213,,
248989522,TM-PE NO.1 R1,0,1,13.1,177.9,0,0,0,2023-05-03-8:10:10.767,,
248989534,TM-PE NO.1 R1,0,1,13.2,174.1,0,0,0,2023-05-03-8:10:11.290,7,
248989551,TM-PE NO.1 R1,0,1,13.1,174.5,0,0,0,2023-05-03-8:10:11.817,,
248989566,TM-PE NO.1 R1,0,1,13.1,175.8,0,0,0,2023-05-03-8:10:12.367,,
248990395,TM-PE NO.1 R1,0,1,14.5,169.5,0,0,0,2023-05-03-8:10:57.877,,
248990402,TM-PE NO.1 R1,0,1,14.5,169.5,0,0,0,2023-05-03-8:10:58.397,,
248990412,TM-PE NO.1 R1,0,1,14.5,169.5,0,0,0,2023-05-03-8:10:58.917,8,
248990418,TM-PE NO.1 R1,0,1,13.2,173.3,0,0,0,2023-05-03-8:10:59.447,,
248990425,TM-PE NO.1 R1,0,1,13.2,173.3,0,0,0,2023-05-03-8:10:59.970,,
248990430,TM-PE NO.1 R1,0,1,13.2,173.3,0,0,0,2023-05-03-8:11:00.483,,
248990440,TM-PE NO.1 R1,0,1,13.2,173.3,0,0,0,2023-05-03-8:11:01.003,,
248990446,TM-PE NO.1 R1,0,1,13.4,173.7,0,0,0,2023-05-03-8:11:01.513,,
248991284,TM-PE NO.1 R1,1,1,13,174.1,0,0,0,2023-05-03-8:11:53.803,,
248991298,TM-PE NO.1 R1,1,1,13.1,175.8,0,0,0,2023-05-03-8:11:54.320,,
248991312,TM-PE NO.1 R1,1,1,13.4,175,0,0,0,2023-05-03-8:11:54.870,9,
248991326,TM-PE NO.1 R1,1,1,13.9,175,0,0,0,2023-05-03-8:11:55.417,,
